epoch,loss,score
0,3.136812750352632,-3.136812750352632
1,2.6796012712181163,-2.6796012712181163
2,2.611939963944461,-2.611939963944461
3,2.5636044346958125,-2.5636044346958125
4,2.495832242003275,-2.495832242003275
5,2.462412833073817,-2.462412833073817
6,2.443205290978108,-2.443205290978108
7,2.402637701515758,-2.402637701515758
8,2.367032950077582,-2.367032950077582
9,2.3659461835108764,-2.3659461835108764
10,2.359284136273445,-2.359284136273445
11,2.31384173664478,-2.31384173664478
12,2.332590768096644,-2.332590768096644
13,2.3211563858417197,-2.3211563858417197
14,2.3004518233308007,-2.3004518233308007
15,2.30066102469733,-2.30066102469733
16,2.2901380455822027,-2.2901380455822027
17,2.2877687762636656,-2.2877687762636656
18,2.2855554141035865,-2.2855554141035865
19,2.257416960296281,-2.257416960296281
20,2.265968279007378,-2.265968279007378
21,2.262778613545479,-2.262778613545479
22,2.2468884264657256,-2.2468884264657256
23,2.2430387757240084,-2.2430387757240084
24,2.2462994505506044,-2.2462994505506044
25,2.2430920677447537,-2.2430920677447537
26,2.2457049538236147,-2.2457049538236147
27,2.238538249916987,-2.238538249916987
28,2.242126802785681,-2.242126802785681
29,2.227726821505695,-2.227726821505695
30,2.223935915789473,-2.223935915789473
31,2.2416282553191578,-2.2416282553191578
32,2.203824407463774,-2.203824407463774
33,2.23496257711988,-2.23496257711988
34,2.2194719041159394,-2.2194719041159394
35,2.2247492468685186,-2.2247492468685186
36,2.214120187890639,-2.214120187890639
37,2.217632284951866,-2.217632284951866
38,2.221700128065337,-2.221700128065337
39,2.2035093132509003,-2.2035093132509003
40,2.20038323336785,-2.20038323336785
41,2.2123195796931556,-2.2123195796931556
42,2.20341463482708,-2.20341463482708
43,2.1902950903691285,-2.1902950903691285
44,2.1962045179594547,-2.1962045179594547
45,2.181538138914546,-2.181538138914546
46,2.180217516531638,-2.180217516531638
47,2.176888209964157,-2.176888209964157
48,2.183512982972171,-2.183512982972171
49,2.1865258829309306,-2.1865258829309306
50,2.1790238356371536,-2.1790238356371536
51,2.1768771191255762,-2.1768771191255762
52,2.1854837706329624,-2.1854837706329624
53,2.1708784518985573,-2.1708784518985573
54,2.165998863517691,-2.165998863517691
55,2.179730094900919,-2.179730094900919
56,2.179303743423672,-2.179303743423672
57,2.184287301990964,-2.184287301990964
58,2.1842634098245464,-2.1842634098245464
59,2.1765695591585352,-2.1765695591585352
60,2.1682096894727936,-2.1682096894727936
61,2.173300354852589,-2.173300354852589
62,2.165160600198518,-2.165160600198518
63,2.166214484687245,-2.166214484687245
64,2.1632670054741956,-2.1632670054741956
65,2.1635466956217355,-2.1635466956217355
66,2.167967095287568,-2.167967095287568
67,2.1625424273517155,-2.1625424273517155
68,2.1771303743397423,-2.1771303743397423
69,2.160201223618394,-2.160201223618394
70,2.1664122014964393,-2.1664122014964393
71,2.1737469380055,-2.1737469380055
72,2.1666576479553084,-2.1666576479553084
73,2.16550494443386,-2.16550494443386
74,2.1653346621662104,-2.1653346621662104
75,2.1551382279177322,-2.1551382279177322
76,2.157422390552836,-2.157422390552836
77,2.1580998186671407,-2.1580998186671407
78,2.150586891611782,-2.150586891611782
79,2.153529859464103,-2.153529859464103
80,2.1638312831931157,-2.1638312831931157
81,2.1531203843038016,-2.1531203843038016
82,2.156073632590268,-2.156073632590268
83,2.1508328772466117,-2.1508328772466117
84,2.1533210179127686,-2.1533210179127686
85,2.153278367235026,-2.153278367235026
86,2.149190087930872,-2.149190087930872
87,2.147074205066086,-2.147074205066086
88,2.1505867997440724,-2.1505867997440724
89,2.15571766708969,-2.15571766708969
90,2.1501896173582162,-2.1501896173582162
91,2.1470403605644854,-2.1470403605644854
92,2.140837042703541,-2.140837042703541
93,2.1407377676132624,-2.1407377676132624
94,2.14494099420145,-2.14494099420145
95,2.1420277116495536,-2.1420277116495536
96,2.1391051603019786,-2.1391051603019786
97,2.1355208749071175,-2.1355208749071175
98,2.1356669719066095,-2.1356669719066095
99,2.134823848348145,-2.134823848348145
