epoch,loss,score
0,3.3149266613854302,-3.3149266613854302
1,2.8478545506795245,-2.8478545506795245
2,2.744823604159885,-2.744823604159885
3,2.6613552570343018,-2.6613552570343018
4,2.5872660795847575,-2.5872660795847575
5,2.545352835125393,-2.545352835125393
6,2.5135302649603948,-2.5135302649603948
7,2.4655527114868163,-2.4655527114868163
8,2.4387478987375895,-2.4387478987375895
9,2.4472713417477077,-2.4472713417477077
10,2.448574431737264,-2.448574431737264
11,2.397473414738973,-2.397473414738973
12,2.3858320819007024,-2.3858320819007024
13,2.3772761662801107,-2.3772761662801107
14,2.3625816822052004,-2.3625816822052004
15,2.3453598499298094,-2.3453598499298094
16,2.3529716226789685,-2.3529716226789685
17,2.3219036208258736,-2.3219036208258736
18,2.3204224480523004,-2.3204224480523004
19,2.3316177209218343,-2.3316177209218343
20,2.330653338962131,-2.330653338962131
21,2.2852440304226347,-2.2852440304226347
22,2.3230200449625653,-2.3230200449625653
23,2.294571865929498,-2.294571865929498
24,2.308929204940796,-2.308929204940796
25,2.301796298556858,-2.301796298556858
26,2.297875907686022,-2.297875907686022
27,2.287438482708401,-2.287438482708401
28,2.298759010103014,-2.298759010103014
29,2.289391114976671,-2.289391114976671
30,2.290670151180691,-2.290670151180691
31,2.272144185172187,-2.272144185172187
32,2.266499635908339,-2.266499635908339
33,2.263809808095296,-2.263809808095296
34,2.2576723098754883,-2.2576723098754883
35,2.2686076270209417,-2.2686076270209417
36,2.2601095782385934,-2.2601095782385934
37,2.247635348637899,-2.247635348637899
38,2.240706115298801,-2.240706115298801
39,2.261042144563463,-2.261042144563463
40,2.26068238152398,-2.26068238152398
41,2.254057036505805,-2.254057036505805
42,2.261736276414659,-2.261736276414659
43,2.2623452875349255,-2.2623452875349255
44,2.2512232250637476,-2.2512232250637476
45,2.243405564626058,-2.243405564626058
46,2.240255769093831,-2.240255769093831
47,2.25407100253635,-2.25407100253635
48,2.2334332625071207,-2.2334332625071207
49,2.241594049665663,-2.241594049665663
50,2.2330559518602158,-2.2330559518602158
51,2.223721726735433,-2.223721726735433
52,2.231627204683092,-2.231627204683092
53,2.232765022913615,-2.232765022913615
54,2.227787897321913,-2.227787897321913
55,2.2252873049841986,-2.2252873049841986
56,2.214912615882026,-2.214912615882026
57,2.2282201449076333,-2.2282201449076333
58,2.2156471888224285,-2.2156471888224285
59,2.2165730635325116,-2.2165730635325116
60,2.2136493259006076,-2.2136493259006076
61,2.206397819519043,-2.206397819519043
62,2.222818782594469,-2.222818782594469
63,2.230705213546753,-2.230705213546753
64,2.212066819932726,-2.212066819932726
65,2.2166177219814722,-2.2166177219814722
66,2.2078950034247504,-2.2078950034247504
67,2.214672417110867,-2.214672417110867
68,2.224454879760742,-2.224454879760742
69,2.215203152762519,-2.215203152762519
70,2.2183507707383896,-2.2183507707383896
71,2.204451730516222,-2.204451730516222
72,2.2101879437764484,-2.2101879437764484
73,2.2098390791151257,-2.2098390791151257
74,2.21390044954088,-2.21390044954088
75,2.2091725455390083,-2.2091725455390083
76,2.2143014430999757,-2.2143014430999757
77,2.202226999070909,-2.202226999070909
78,2.204767502678765,-2.204767502678765
79,2.207354280683729,-2.207354280683729
80,2.204930220709907,-2.204930220709907
81,2.2023956775665283,-2.2023956775665283
82,2.2058679474724663,-2.2058679474724663
83,2.1902052137586807,-2.1902052137586807
84,2.2000821643405493,-2.2000821643405493
85,2.197070662180583,-2.197070662180583
86,2.199191337161594,-2.199191337161594
87,2.196872589323256,-2.196872589323256
88,2.1907534122467043,-2.1907534122467043
89,2.2109563297695582,-2.2109563297695582
90,2.1984739356570775,-2.1984739356570775
91,2.182907549540202,-2.182907549540202
92,2.187843566470676,-2.187843566470676
93,2.184588485293918,-2.184588485293918
94,2.190991693072849,-2.190991693072849
95,2.1878274228837755,-2.1878274228837755
96,2.1866066296895346,-2.1866066296895346
97,2.1867654906378853,-2.1867654906378853
98,2.1925290796491836,-2.1925290796491836
99,2.1853492154015437,-2.1853492154015437
