epoch,loss,score
0,2.948871870653345,-2.948871870653345
1,2.5420197839036995,-2.5420197839036995
2,2.4295214173990654,-2.4295214173990654
3,2.418754505454947,-2.418754505454947
4,2.362377553904822,-2.362377553904822
5,2.350676153777936,-2.350676153777936
6,2.297862526473649,-2.297862526473649
0,2.9489157352972466,-2.9489157352972466
1,2.541923905731341,-2.541923905731341
2,2.429721263570523,-2.429721263570523
3,2.419032271848906,-2.419032271848906
4,2.361543937560615,-2.361543937560615
5,2.351844674950346,-2.351844674950346
6,2.302572093972372,-2.302572093972372
7,2.2833500181863067,-2.2833500181863067
8,2.2651658856540644,-2.2651658856540644
9,2.290523987297618,-2.290523987297618
10,2.2949870256108977,-2.2949870256108977
11,2.2556460614598124,-2.2556460614598124
12,2.253548756651922,-2.253548756651922
13,2.2390450403231,-2.2390450403231
14,2.2470349489002053,-2.2470349489002053
15,2.2365781954669077,-2.2365781954669077
16,2.2314992825919333,-2.2314992825919333
17,2.2275631121539194,-2.2275631121539194
18,2.2253270258597277,-2.2253270258597277
19,2.235355908717584,-2.235355908717584
20,2.2161950408865554,-2.2161950408865554
21,2.2119678630741366,-2.2119678630741366
22,2.2234642002560676,-2.2234642002560676
23,2.2047153864431817,-2.2047153864431817
24,2.2008366606651095,-2.2008366606651095
25,2.203034462185081,-2.203034462185081
26,2.193767980698052,-2.193767980698052
27,2.1782640645263394,-2.1782640645263394
28,2.176264222608794,-2.176264222608794
29,2.202888042554943,-2.202888042554943
30,2.1892399273881127,-2.1892399273881127
31,2.1860093261123796,-2.1860093261123796
32,2.176445091536286,-2.176445091536286
33,2.1712136476411734,-2.1712136476411734
34,2.174935732412776,-2.174935732412776
35,2.1672900193328157,-2.1672900193328157
36,2.182550078138299,-2.182550078138299
37,2.170046836958019,-2.170046836958019
38,2.1632873902627088,-2.1632873902627088
39,2.1665428800320408,-2.1665428800320408
40,2.161052583554469,-2.161052583554469
41,2.1610227024883306,-2.1610227024883306
42,2.159234332382132,-2.159234332382132
43,2.155784915346618,-2.155784915346618
44,2.1577302403406264,-2.1577302403406264
45,2.1600025739144844,-2.1600025739144844
46,2.1534448369927364,-2.1534448369927364
47,2.152530301601515,-2.152530301601515
48,2.1636427400309013,-2.1636427400309013
49,2.161466463990168,-2.161466463990168
50,2.159919149285063,-2.159919149285063
51,2.1568240485060106,-2.1568240485060106
52,2.1618516740448976,-2.1618516740448976
53,2.1597858503324177,-2.1597858503324177
54,2.155883037715877,-2.155883037715877
55,2.1576164829621622,-2.1576164829621622
56,2.152079108658187,-2.152079108658187
57,2.147234506563309,-2.147234506563309
58,2.1509497504715527,-2.1509497504715527
59,2.147210977493076,-2.147210977493076
60,2.1417907235819267,-2.1417907235819267
61,2.145443484323834,-2.145443484323834
62,2.1488874571039043,-2.1488874571039043
63,2.140842996606039,-2.140842996606039
64,2.16064986504546,-2.16064986504546
65,2.135967123399087,-2.135967123399087
66,2.1395830823740827,-2.1395830823740827
67,2.1379420997899605,-2.1379420997899605
68,2.141241192817688,-2.141241192817688
69,2.134710478126456,-2.134710478126456
70,2.1310632950669035,-2.1310632950669035
71,2.131907174346644,-2.131907174346644
72,2.1453102149000953,-2.1453102149000953
73,2.1328309041644453,-2.1328309041644453
74,2.131448983052455,-2.131448983052455
75,2.1312959336359567,-2.1312959336359567
76,2.1354051390919118,-2.1354051390919118
77,2.1311934048976373,-2.1311934048976373
78,2.1367281926881283,-2.1367281926881283
79,2.1318482794892897,-2.1318482794892897
80,2.1270358737455597,-2.1270358737455597
81,2.135682612384131,-2.135682612384131
82,2.136259298805797,-2.136259298805797
83,2.1287464647118104,-2.1287464647118104
84,2.13045326285406,-2.13045326285406
85,2.1275660018308447,-2.1275660018308447
86,2.130739694341607,-2.130739694341607
87,2.133207390067774,-2.133207390067774
88,2.136253893922228,-2.136253893922228
89,2.1293714604246508,-2.1293714604246508
90,2.127746252838625,-2.127746252838625
91,2.12959398589003,-2.12959398589003
92,2.1258846018292488,-2.1258846018292488
93,2.1335894449041524,-2.1335894449041524
94,2.1241944984558527,-2.1241944984558527
95,2.131871308755437,-2.131871308755437
96,2.1284598440205285,-2.1284598440205285
97,2.1284990420035266,-2.1284990420035266
98,2.1298096814286818,-2.1298096814286818
99,2.127095017958125,-2.127095017958125
